,EXEC,INST,IPC,L2MISS,FREQ,L2MPI,PhysIPC%,INSTnom%,L3MISS,MEM,L3HIT,L3MPI,GT,Pred
65,0.2798095238093333,0.4074808052368395,0.5740165631485508,0.15505941845750262,0.28135938921202724,0.24760568220888035,0.5736024844717391,0.27999999999999997,0.007854384997237238,0.012070898348731002,0.9990000000000001,0.009284686536489208,1.01027327442,1.0093410519402672
332,0.32438095238066667,0.36213480777788815,0.6457039337463769,0.04005056890002122,0.28984868112790285,0.055238286172395845,0.6454451345753623,0.3243809523813333,0.0057951829380351785,0.008249255163351007,0.997285714286,0.005909558067827339,1.06479546323,1.0153319784504935
647,0.9666666666666667,0.4074462007236716,0.5739130434782609,0.2860884955751199,0.9713872274740608,0.13157177225346092,0.573768115942029,0.9658666666666665,0.007214071214071215,0.010957935666313184,0.9996,0.002457553956834533,1.16305227816,1.2903019283395363
514,0.9666666666666667,0.40758415354102123,0.5731884057971014,0.2559504424777855,0.9705382982824732,0.11793103448280591,0.5730434782608695,0.9648,0.011957099957099957,0.014981972428419936,0.9990000000000001,0.004089208633093525,1.22859572545,1.2988978224663275
690,0.44813333333333333,0.6284951398351954,0.3717391304347826,0.5804601769909449,0.6952730079102083,0.5694466720130592,0.3717391304347826,0.448,0.00793135993135993,0.011090844821491693,1.0,0.005761151079136691,1.07656025389,1.0497070317609365
388,0.4417333333333333,0.6371453056560655,0.36594202898550726,0.5849203539820937,0.694742427165466,0.5918203688855621,0.3667391304347826,0.4418666666666667,0.005336765336765337,0.007246376811594203,1.0,0.003992805755395684,1.0278439983299998,1.0545472744531745
165,0.3183809523806667,0.3557148509258588,0.6568322981376812,0.026902149178259494,0.27984344422659474,0.03763317676721637,0.6566252587992755,0.3182857142853333,0.009854752711900472,0.018665858708278544,0.9931428571430001,0.010213771839669065,1.0344633342799998,1.021976515485873
22,0.3243333333333333,0.3518102915733552,0.6648550724637682,0.023113274336275,0.28173837545812014,0.03131415396953942,0.6644927536231885,0.325,0.013697983697983697,0.06782608695652174,0.98875,0.013798561151079136,1.01805500951,1.0151300263373781
708,0.3372,0.3369783453334469,0.6934782608695653,0.025493097345123717,0.28035886552179035,0.033690457097046385,0.6936231884057971,0.3373333333333333,0.0090982410982411,0.015109225874867446,0.9932,0.008897841726618705,1.0065429448899998,1.0190135840577583
677,0.3154666666666667,0.35901346376247095,0.6510869565217392,0.027114690265477127,0.2794038201812543,0.03826984763433772,0.6510869565217392,0.3153333333333333,0.008384384384384385,0.016096147048427007,0.9943,0.008768345323741007,1.02641417263,1.0228555315226502
318,0.34181818181799994,0.3313423037603231,0.7055335968369565,0.024122606596940127,0.2793748794136487,0.031073849967209737,0.7057312252963768,0.3418181818186667,0.006123006123003004,0.00880876634853305,0.995090909091,0.005835186396330935,1.01993868884,1.0199859782630196
594,0.32768627451,0.34475108506914615,0.6786018755326088,0.0308501821967466,0.2787109441503844,0.04217887636204578,0.6782182438195652,0.327921568628,0.004818936583646504,0.006392780654153412,0.9972352941179999,0.004879390605165468,1.02046211555,1.0200168478391254
130,0.31616666666666665,0.3587753417979583,0.6517210144927537,0.02428805309733653,0.2797486976653368,0.03439955894147329,0.6516304347826087,0.31616666666666665,0.008251823251823252,0.015862495581477554,0.993375,0.008654676258992806,1.01806801347,1.0238565918443294
517,0.437,0.26025904108152753,0.9021739130434784,0.022770796460168927,0.2796160524791512,0.02312249398557463,0.9021739130434784,0.4373333333333333,0.01096954096954097,0.017363025804171085,0.99125,0.008244604316546764,1.01794711642,1.0214682040063445
12,0.33744444444466665,0.33741807976557,0.6929347826086958,0.02814424778761127,0.2807656440924056,0.03737971130703183,0.6928140096615942,0.3376666666666666,0.005880165880171601,0.0470425356427006,0.996166666667,0.0057793764988057555,1.01455019061,1.0127340296250709
675,0.31553333333333333,0.35903294243816003,0.6518115942028987,0.02172743362831089,0.27929770403230586,0.030774659182049222,0.651231884057971,0.3153333333333333,0.00873959673959674,0.01673806998939555,0.9925,0.009162589928057553,1.02522519861,1.0251649905720372
574,0.30857142857133335,0.7419805086410255,0.4215320910978261,0.05846472819205009,0.5624155894267558,0.0812464199794632,0.42153209109710144,0.30838095238133334,0.6274682846108967,0.7720042417815483,0.8227142857140001,0.6435765673179856,1.21835235978,1.2078672778819675
688,0.62,0.36425804367582787,0.6427536231884059,0.022829734513266253,0.5568975496814367,0.016354450681642485,0.6418840579710146,0.6197333333333334,0.008192192192192192,0.013025097207493815,0.9932,0.004348201438848921,1.02341058199,1.0452712567284532
