Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-2-learning-56-regular-100,3944.0,1.0312,0.16618,0.2344,2794.0,0.3326,8.314,0.8646,4.546,0.0017532,0.6198,1.8688,0.00078254,1.7288,43.26,2.111,2100.0,1.856
batch-3-learning-1-regular-78,3872.0,1.0212,0.162,0.2304,2720.0,0.3234,8.094,0.8628,5.1266,0.0018588,0.6226,1.9296,0.0007869,1.7256,43.16,2.2888,2100.0,1.964
batch-5-learning-67-regular-100,6166.66666667,1.0255,0.199166666667,0.367333333333,3343.33333333,0.398,9.96,0.777666666667,8.9055,0.00224283333333,0.605833333333,3.4025,0.00094935,1.55516666667,38.9,3.22733333333,2100.0,2.10666666667
batch-5-learning-100-regular-1,6231.66666667,1.04,0.199933333333,0.371166666667,3363.33333333,0.400333333333,10.0083333333,0.772,9.28583333333,0.00239083333333,0.599,3.63216666667,0.00104766666667,1.54266666667,38.6,3.24666666667,2100.0,2.11333333333
batch-4-learning-56-regular-1,3966.0,1.0274,0.16262,0.2358,2734.0,0.3254,8.146,0.8552,5.5622,0.0019628,0.6204,2.1994,0.00082156,1.709,42.72,2.3898,2100.0,1.952
batch-3-learning-34-regular-78,3982.0,1.0322,0.1646,0.2368,2768.0,0.3294,8.242,0.859,5.2414,0.0018868,0.618,1.9804,0.00081854,1.7176,42.94,2.3034,2100.0,1.968
batch-2-learning-23-regular-89,3456.0,0.9786,0.15364,0.2056,2580.0,0.3068,7.668,0.888,4.2322,0.0015792,0.6316,1.7872,0.00068768,1.7726,44.38,2.0726,2100.0,1.86
batch-4-learning-89-regular-78,3930.0,1.0276,0.16036,0.2338,2696.0,0.321,8.02,0.857,5.349,0.0019262,0.616,2.136,0.0008322,1.7108,42.8,2.3702,2100.0,1.952
batch-4-learning-12-regular-56,3714.0,1.003,0.1562,0.2208,2626.0,0.3124,7.8,0.8646,5.3442,0.0019732,0.6328,2.1744,0.00083574,1.7318,43.26,2.3218,2100.0,1.928
batch-5-learning-45-regular-78,6303.33333333,1.04633333333,0.201466666667,0.3755,3385.0,0.402833333333,10.08,0.770333333333,9.47733333333,0.00242716666667,0.612333333333,3.62233333333,0.00104485,1.5405,38.4833333333,3.25966666667,2100.0,2.12833333333
