Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-1000000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.305,1.045,21937.5,2.61,65.2375,1.25375,59.425,0.002705,0.99975,0.02052875,9.31125e-07,2.50875,62.725,0.011495,2100.0,0.0013345,1.61203111391
num-1000000,ferret:eyes-1-pyramid-16-selectivity-2,2385.0,1.06,0.17725,0.138375,3051.25,0.354125,8.855,1.27875,1.305,0.000429,0.96675,0.0434375,1.4325e-05,2.55875,63.9375,0.0338625,2150.0,0.0113475,0.981289145028
num-400000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.32375,1.045,22237.5,2.64875,66.2375,1.2725,58.35,0.00262125,0.9995,0.02766875,1.238e-06,2.545,63.65,0.01622375,2100.0,0.0019265,1.6321431844
num-400000,ferret:eyes-2-pyramid-7-selectivity-2,2397.5,1.05625,0.180375,0.13975,3092.5,0.360875,9.02125,1.29125,1.38775,0.00045075,0.957625,0.060675,1.98575e-05,2.58125,64.575,0.04675,2142.5,0.01516125,0.990878193032
num-400000,svm:batch-4-learning-34-regular-12,4956.25,1.0075,0.165025,0.295125,2775.0,0.329875,8.25,0.695,7.0225,0.002162,0.624625,2.658875,0.000854,1.390375,34.775,2.3935,2101.25,1.85625,1.11388459283
num-400000,ferret:eyes-1-pyramid-16-selectivity-2,2421.25,1.06,0.179125,0.140875,3081.25,0.358375,8.95875,1.2725,1.6375,0.00052875,0.96475,0.05795,1.879e-05,2.545,63.6375,0.0455125,2148.75,0.01407625,0.987375063746
num-400000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.37375,1.045,23062.5,2.745,68.6125,1.32,92.8625,0.00402625,0.999875,0.02357625,1.0245e-06,2.63625,65.9375,0.01224375,2100.0,0.001495125,1.72935758115
num-400000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7030.0,1.04875,0.765625,0.418375,12875.0,1.53125,38.2875,1.83,67.0875,0.00521375,0.9995,0.0280125,2.174375e-06,3.66125,91.5375,0.0162775,2100.0,0.0023325,1.00928080629
num-400000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13737.5,1.04875,1.18,0.81425,19912.5,2.35875,58.975,1.4475,15.375,0.000771375,0.99825,0.0274,1.374e-06,2.89875,72.45,0.01626625,2110.0,0.00238375,1.42137398853
num-400000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17512.5,1.04875,1.33125,1.045,22387.5,2.6625,66.55,1.28125,283.75,0.012675,1.0,0.050875,2.26925e-06,2.55875,64.0,0.02198,2101.25,0.004265,1.64051203083
