,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
1162,1.225,0.741151162791,0.6054383391600977,0.61238372093,1.65441860465,6.84644186047,0.00033262906976700004,0.9951744186049999,0.0108240697674,5.23860465116e-07,0.827186046512,0.01404639534883,1.1621481752299998,1.1124340629669522
483,0.3544,0.2625,0.740327868852459,0.1775,1.349,0.9903,0.0001625,0.9704,0.03191,5.232e-06,0.6753,0.08486,1.01849162052,1.0245300031987687
620,0.524875,0.262375,0.4998594584459852,0.2625,2.00041666667,0.512916666667,5.765e-05,0.976791666667,0.013291666666700001,1.48883333333e-06,0.999458333333,0.01859291666663,1.01821987342,1.0146321844583182
676,0.3362,0.3636,1.0827173530447025,0.16820000000000002,1.026,4.3246,0.0007848,0.6436,1.6374,0.00032118,0.512,4.146,1.0806692517299998,1.0824067665616854
367,0.3564,0.2628,0.7377022653721683,0.1782,1.3559999999999999,0.9554,0.0001545,0.9629,0.0373,6.052000000000001e-06,0.6779000000000001,0.1023,1.0232329730299998,1.0254824497101385
170,0.40015,0.39305,0.9823818019625334,0.20004999999999998,1.01835,198.1,0.029445,0.99995,0.016554,2.45565e-06,0.5089,0.0187895,1.02207379157,1.0212008311020213
1414,0.3592,0.264,0.7353614654890416,0.1796,1.36,0.9059999999999999,0.0001482,0.9404,0.0578,9.46e-06,0.6804000000000001,0.15168,1.02203588846,1.0284238847444165
78,0.357857142857,0.264714285714,0.7400330266579902,0.179,1.35285714286,1.02585714286,0.000169285714286,0.947857142857,0.05924285714290001,9.66e-06,0.6759999999999999,0.12309999999999999,1.01912254331,1.027343614795666
316,0.511,0.5285,1.0339594004928856,0.255666666667,0.9670000000000001,299.5,0.0341,1.0,0.0301,3.42e-06,0.48350000000000004,0.0448283333334,1.02427526229,1.035802121028956
746,0.35657142857100005,0.452571428571,1.269530328062417,0.17821428571400003,0.9670000000000001,6.950214285710001,0.00108857142857,0.633428571429,2.5797857142900003,0.000433035714286,0.483357142857,4.67242857143,1.1225913989299998,1.0998395786407482
21,1.24,0.693777777778,0.5598722724853008,0.6195555555560001,1.7888888888900003,3.31,0.000158988888889,0.982,0.023180000000000003,1.0917777777799999e-06,0.8941111111110002,0.0367344444444,1.10999920199,1.0921161315964638
278,1.1514285714299999,0.652857142857,0.5679824561391053,0.5751428571430001,1.7628571428599997,82.7571428571,0.00422857142857,0.9998571428569999,0.021687142857099998,1.10542857143e-06,0.8808571428569999,0.0313614285715,1.0278985819700002,1.067241452893552
169,0.356947368421,0.263368421053,0.7377259874903016,0.178368421053,1.35526315789,0.9127368421050001,0.000148736842105,0.962421052632,0.0358684210526,5.86052631579e-06,0.6777368421050001,0.108352631579,1.02307575868,1.0254655068326641
820,0.356272727273,0.263545454545,0.7397820163497878,0.178181818182,1.3509090909099999,0.9108181818179999,0.000151545454545,0.962636363636,0.0358181818182,5.9509090909099995e-06,0.676090909091,0.10074545454549999,1.02112771829,1.0254355067511207
623,0.357296296296,0.476925925926,1.3360083312908788,0.178703703704,0.918888888889,7.67477777778,0.00111292592593,0.6212592592589999,2.6237037037,0.00040750000000000004,0.45948148148100004,4.85814814815,1.13388259006,1.1088331967411373
357,0.219949090909,0.202631818182,0.920515672222197,0.11002,1.07436363636,2.15390909091,0.000780818181818,0.750818181818,0.807936363636,0.00024037272727300002,0.537363636364,4.04,1.08141506822,1.0701952007024411
151,0.3655,0.4395,1.2092929292929293,0.18225000000000002,1.03125,4.861000000000001,0.00064075,0.6835,1.1315,0.000155675,0.51475,3.9825,1.04310376031,1.084857160298133
1154,0.517160493827,0.551259259259,1.0660229534569605,0.25850617284,0.9381358024690001,287.024691358,0.0328333333333,0.9999135802470001,0.114972839506,1.31451851852e-05,0.46903703703699995,0.0639666666666,1.09680827869,1.040135311974799
793,0.52468,0.2626,0.5007867643753091,0.26228,1.9968,0.50856,5.7212e-05,0.9718,0.017975599999999998,2.0179599999999997e-06,0.99736,0.0209504,1.02201096412,1.015334393546594
165,0.3552,0.26345,0.7413980745081624,0.17754999999999999,1.349,0.9556,0.00016030000000000002,0.9735,0.028089999999999997,4.728e-06,0.67435,0.07987,1.01945085931,1.0239712444261881
634,1.025,0.654,0.6361031518624641,0.513,1.57,68.95,0.00396,0.9995,0.0585,3.345e-06,0.7845,0.07475000000000001,1.03839326294,1.0655074455956122
1419,0.5252,0.2624,0.4995581087052585,0.26280000000000003,2.002,0.6424,7.048e-05,0.9548,0.03696,4.01e-06,1.0006,0.052520000000000004,1.02323400198,1.0177016544236046
492,1.218,0.6957,0.5717054263565892,0.6088,1.751,3.7769999999999997,0.00018281,0.9873,0.01936,9.276999999999999e-07,0.8755,0.031200000000000002,1.07674513142,1.09089310397931
204,0.35472727272699994,0.262818181818,0.7402953265336457,0.177363636364,1.3509090909099999,1.03809090909,0.000174090909091,0.9712727272730001,0.0323,5.42181818182e-06,0.675181818182,0.0883181818182,1.01404228712,1.0243867555778094
