Configuration,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
num-500000,1.21,1,914000,2.41,1.2,0.718,213,0.000233,0.372,114,0.000125,2.41,81.7,167,1.5056987339
num-500000,1.2,1,897000,2.4,1.2,0.744,252,0.000281,0.401,125,0.000139,2.4,97.1,168,1.4881168023
num-500000,0.91,0.801,587000,1.82,1.14,0.658,284,0.000483,0.254,191,0.000325,2.27,88.4,201,1.2786436675
num-500000,0.768,0.827,502000,1.54,0.929,0.728,384,0.000764,0.326,220,0.000437,1.86,139,230,1.2949916947
num-500000,0.834,0.69,489000,1.67,1.21,0.759,325,0.000663,0.49,121,0.000246,2.42,114,142,1.1735165409
num-500000,1.36,1,1010000,2.73,1.36,0.744,69.5,0.0000686,0.346,42.5,0.0000419,2.73,44.1,85.3,1.4770053038
num-500000,1.21,0.673,676000,2.41,1.79,0.713,105,0.000155,0.368,62.4,0.0000922,3.58,36.4,64,1.1105899851
num-500000,1.29,1.01,932000,2.57,1.27,0.709,139,0.000149,0.302,87,0.0000933,2.54,63.1,141,1.4350999796
num-500000,1.22,0.808,734000,2.43,1.51,0.724,108,0.000148,0.363,65,0.0000885,3.01,42.1,77.3,1.1961647764
num-500000,1.02,0.836,657000,2.05,1.22,0.744,219,0.000334,0.391,109,0.000166,2.45,85.1,155,1.271580422
num-500000,1.34,1.01,1100000,2.67,1.33,0.775,162,0.000147,0.411,91.7,0.0000834,2.65,57.4,95.9,1.6276083402
num-500000,1.1,0.981,800000,2.19,1.12,0.726,530,0.000662,0.527,180,0.000225,2.24,170,177,1.4444020377
num-500000,1.15,1,854000,2.31,1.15,0.711,304,0.000356,0.334,177,0.000207,2.3,110,175,1.4700123949
num-500000,0.708,0.705,401000,1.42,1,0.653,253,0.00063,0.239,170,0.000422,2.01,86.6,198,1.1273662326
num-500000,1.02,0.564,562000,2.03,1.8,0.753,113,0.000201,0.337,72.1,0.000128,3.61,44.3,82.7,1.1004811227
