Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-5-particle-2700;5.71e+05;1.01;75.1;0;20.5;0;0;0;0;0;0;0;0;0;0.71;0.759;5.34e+05;1.42;35.5;0.936;0.709;693;0.0013;0.645;198;0.000372;1.87;46.8;1.27e+03;170;9.4e+04;244;3.07507480594
layer-5-particle-2700;2.59e+05;1.01;76.8;0;23.1;0;0;0;0;0;0;0;0;0;0.904;0.774;3.02e+05;1.81;45.2;1.17;0.641;295;0.000977;0.682;88.4;0.000293;2.34;58.4;576;42.9;4.18e+04;108;1.37963555993
layer-5-particle-2700;5.21e+05;1.01;99.9;0;0.0856;0;0;0;0;0;0;0;0;0;1.12;1.01;5.78e+05;2.24;56;1.11;0.699;403;0.000698;0.691;110;0.00019;2.22;55.5;977;82.5;6.45e+04;140;2.11144543763
layer-5-particle-2700;4.4e+05;1;94.2;0;5.48;0;0;0;0;0;0;0;0;0;0.968;0.945;4.51e+05;1.94;48.4;1.02;0.661;441;0.000978;0.63;155;0.000343;2.05;51.2;823;73.1;5.82e+04;148;1.90358986927
layer-5-particle-2700;4.45e+05;1.02;99.3;0;0.741;0;0;0;0;0;0;0;0;0;1.11;1.02;4.89e+05;2.23;55.7;1.1;0.696;323;0.00066;0.638;110;0.000225;2.19;54.9;802;67.4;5.48e+04;134;1.78877871477
layer-5-particle-2700;4.9e+05;1.01;99.9;0;0.101;0;0;0;0;0;0;0;0;0;1.16;1;5.64e+05;2.31;57.9;1.15;0.682;464;0.000822;0.741;105;0.000187;2.3;57.6;900;83.2;6.09e+04;108;1.99437330674
layer-5-particle-2700;2.34e+05;1.01;61.6;0;37.8;0;0;0;0;0;0;0;0;0;1.18;0.62;4.44e+05;2.35;58.8;1.9;0.687;204;0.000459;0.828;34.1;7.68e-05;3.79;94.8;652;21.5;4.73e+04;47.1;1.54495136967
layer-5-particle-2700;3.99e+05;1;99.8;0;0.172;0;0;0;0;0;0;0;0;0;1.21;1;4.83e+05;2.43;60.7;1.21;0.69;241;0.000498;0.739;59.3;0.000123;2.42;60.5;722;36.7;4.97e+04;96.6;1.62229459634
layer-5-particle-2700;1.42e+05;0.897;52.5;0;45.1;0;0;0;0;0;0;0;0;0;0.905;0.471;2.73e+05;1.81;45.3;1.92;0.736;165;0.000604;0.853;23.6;8.67e-05;3.84;96.1;361;17.7;3.77e+04;40.1;1.2413524895
layer-2-particle-2266;7.58e+04;1.05;34.1;0;36.8;0;0;0;0;0;0;0;0;0;0.601;0.356;1.28e+05;1.2;30;1.69;0.66;89.6;0.000701;0.664;29.6;0.000231;3.37;84.3;284;13;2.66e+04;31.8;1.70063707394
layer-2-particle-2266;1.91e+05;0.996;99.9;0;0.137;0;0;0;0;0;0;0;0;0;1.11;0.995;2.13e+05;2.21;55.4;1.11;0.658;120;0.000565;0.728;30.2;0.000142;2.23;55.6;340;22.1;2.41e+04;57;1.5258440744
layer-2-particle-2266;1.98e+05;0.998;97.2;0;2.85;0;0;0;0;0;0;0;0;0;1.33;0.969;2.72e+05;2.66;66.5;1.37;0.702;71.5;0.000263;0.845;10.6;3.9e-05;2.74;68.6;368;10;2.55e+04;24.5;1.60431265618
layer-2-particle-2266;1.83e+05;1.03;99.5;0;0.548;0;0;0;0;0;0;0;0;0;1.37;1.02;2.45e+05;2.73;68.3;1.34;0.689;77.8;0.000318;0.782;16.5;6.74e-05;2.67;66.8;355;11;2.24e+04;22.1;1.42405364901
