,EXEC,L2MISS,L3MISS,L3HIT,MEM,L3MPI,L2MPI,INSTnom%,IPC,PhysIPC%,INST,FREQ,GT,Pred
1727,0.4074115044247787,0.7367409684857802,0.42262911251751284,0.9899856938483547,0.5026062108945198,0.4133238123241063,0.7600543317781847,0.40730088495575223,0.3717145580825275,0.3718647764449292,0.9572134361909433,0.8178196096546945,1.0536981504293368,1.0827130130082296
754,0.2806969026548672,0.014482449397899052,0.45789651673993903,0.3656890796375775,0.6006667433038281,0.642360090169558,0.021525423728813557,0.2808259587020649,0.6458531935176356,0.6466284987277353,0.5508038585209003,0.32437348423605494,1.0207035685490058,1.0256872630091052
1866,0.2779867256637168,0.01274276197796567,0.39792582572427,0.3783738674296614,0.5224508564202782,0.5749289424679015,0.01952459694088466,0.27824483775811204,0.6506196377502383,0.6506043256997456,0.5468569727790463,0.3189167340339532,1.0237216842001506,1.02194336213508
2370,0.27901917404129783,0.013016269536254161,0.4143839476947356,0.3645207439198854,0.5373414568724374,0.585514064490836,0.019512195121951216,0.27901917404129795,0.6514140451223386,0.6512404580152671,0.5463626801736954,0.31992724333063866,1.0261531181321606,1.0264823207342562
3202,0.2769542772861357,0.013101460415065337,0.42092210573779726,0.35867906533142585,0.5514733494271372,0.6090365578751348,0.020115750310045474,0.27721238938053105,0.6482364156339371,0.6485368956743002,0.5485746160344865,0.3193209377526273,1.0229605429593382,1.0200658934840399
2546,0.4092367256637168,0.011778759928260314,0.39003494532747146,0.33397711015736775,0.4676552860482047,0.37851612270900714,0.012128978916907812,0.40884955752212393,0.9572608833809976,0.9583333333333333,0.37147799505502016,0.31911883589329026,1.025526037158357,1.0166791382230442
1488,0.27759955752212384,0.01391749935946708,0.4333220606470521,0.378540772532189,0.5449285358470323,0.6149171812212094,0.02095494005787515,0.2779867256637168,0.6498252303781378,0.6502862595419846,0.546953128260779,0.31911883589329026,1.0255942084209813,1.0306941810507066
239,0.4105088495575221,0.7156033820138356,0.47596502246485334,0.9876967095851218,0.5357725846977485,0.4613769059520309,0.7320616547569835,0.41039823008849563,0.37232738662671927,0.37254634678298787,0.956022714908261,0.8231897447742232,1.094420792243244,1.1029005069173659
1411,0.6336283185840708,0.0225826287471176,0.3984733562007826,0.5175965665236052,0.47537221027047455,0.24984248330323017,0.015027461170495483,0.6334070796460177,0.8845158654500882,0.8849509269356597,0.40235153261716045,0.5354544404665665,1.0726553302200486,1.0692657414519537
876,0.2775995575221239,0.012859338970023062,0.4091985120054108,0.3658559847401049,0.5282676169674675,0.5908066255023031,0.01968995452666391,0.27772861356932155,0.6506196377502382,0.6512404580152672,0.5463358088695018,0.3181083265966046,1.00586387703073,1.0230978996680038
3850,0.27367256637168136,0.01484627209838586,0.48813952364848534,0.3467811158798283,0.6246366577439115,0.7139076742134666,0.022985885548928126,0.2736725663716814,0.638703527168732,0.6393129770992366,0.5566358800535617,0.31960965469453745,1.0349529928388401,1.0206782590091839
3254,0.4062684365781711,0.013025236997181657,0.44053657986698236,0.32396280400572247,0.5238992987699735,0.4224247770263647,0.013253410500206697,0.4062684365781711,0.9501112170320939,0.9505407124681934,0.37437061809858446,0.3191188358932901,1.0285820856060015,1.0201782780515067
2611,0.6371497050147492,0.020167819625928778,0.3891331304249802,0.4841917024320458,0.46525654289765106,0.24365382730569438,0.01329888383629599,0.6370206489675516,0.9095964410549726,0.9125318066157759,0.39195800561431565,0.5242522231204526,1.0434232776864871,1.0625547110111386
1749,0.8972621681415928,0.27911222136817837,0.3598241460940142,0.9757689556509299,0.4209731003563629,0.16030579241399584,0.1312732534105002,0.8974557522123895,0.6875595805529073,0.6889312977099236,0.5166955649852092,0.9735751818916732,1.2500687102550259,1.227634709043972
