,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
6807,0.974,1.052,0.895,0.8517279821627648,0.5252,1.1740000000000002,0.6546,0.003136,0.9706,0.5868,0.7914399999999999,1.46011087519,1.3518427923718614
7726,0.992666666667,1.0366666666700002,0.8713333333329999,0.8408007626326802,0.5185,1.19,0.8220000000000001,0.000939333333333,0.7566666666670001,0.595,0.859216666667,1.24118599685,1.2567016606805446
1768,1.05,0.483333333333,0.263333333333,0.545016077170637,0.242,1.83666666667,0.7336666666670001,0.00148333333333,0.721,0.917666666667,1.3433333333367,1.02844063296,1.0179495021380323
4803,1.05,0.521333333333,0.262,0.5030211480360638,0.260666666667,1.98666666667,0.608666666667,0.000587666666667,0.298333333333,0.993,1.2905333333367,1.00275761895,1.0186421236727976
1411,1.05,0.468333333333,0.262333333333,0.5610269360265151,0.23399999999999999,1.78666666667,0.768666666667,0.00149666666667,0.7056666666670001,0.892,1.3141333333299998,1.01779935801,1.0185949251222497
2641,1.05,0.506666666667,0.264,0.521011673151159,0.253333333333,1.91666666667,0.719333333333,0.00124,0.704333333333,0.959333333333,1.2993333333330002,1.02320981145,1.016278688982517
5110,1.05,0.539,0.265666666667,0.49329952915628156,0.26933333333299997,2.03,0.7256666666670001,0.000378666666667,0.391,1.0126666666700002,0.77992,1.03641969855,1.0441643074813138
6129,1.042,1.108,0.8494,0.7645811240721103,0.5546,1.306,0.1512,0.008606,0.9902,0.653,0.87062,1.22670459159,1.1977097960755667
5720,0.981666666667,1.22,0.947833333333,0.7784090909087311,0.609833333333,1.28833333333,0.746166666667,0.0010898333333299998,0.910666666667,0.6431666666670001,0.83118,1.317208416,1.3463105394374333
6907,1.017625,1.068,0.839625,0.7865557865557865,0.534125,1.27375,0.148375,0.0093925,0.991125,0.636875,0.8112874999999999,1.2207983786299998,1.264181883780463
7752,0.992857142857,0.933285714286,0.787428571429,0.8421052631562514,0.466714285714,1.18571428571,0.6735714285709999,0.00351857142857,0.967714285714,0.592857142857,0.8618185714283999,1.24458401353,1.2071370297619162
688,1.05,0.501333333333,0.266,0.5306603773584906,0.250666666667,1.88333333333,0.685,0.0014133333333299998,0.685,0.942666666667,1.51766666667,1.0327936648,1.0197583313841894
4728,1.05,0.523333333333,0.261333333333,0.4994454713487987,0.261666666667,2.0,0.638333333333,0.000507333333333,0.303,1.0,1.1432,1.01078608657,1.0207283559208822
1631,1.05,0.523666666667,0.263333333333,0.5028227324044023,0.262,1.99,0.633666666667,0.000559,0.308,0.996333333333,1.21553333333,1.01404564169,1.0181550574189795
6209,0.985375,0.89975,0.76325,0.8497109826589595,0.44975000000000004,1.1825,0.7165,0.002545,0.948625,0.5915,0.8418062500000001,1.178688618,1.216588932321254
3314,1.05,0.529666666667,0.261666666667,0.4942185751587116,0.264666666667,2.02666666667,0.693333333333,0.0004396666666670001,0.321,1.01166666667,0.8608633333333001,0.999264746256,1.0367007389779554
3661,1.05,0.523,0.261666666667,0.4996243425993612,0.261666666667,2.0,0.622666666667,0.000553333333333,0.30966666666700005,0.999333333333,1.2081666666700002,1.01607627402,1.0196949597817848
1806,1.05,0.346666666667,0.263,0.7591240875913762,0.173333333333,1.32,0.652333333333,0.000985333333333,0.315,0.659,1.5555666666630001,1.01930331827,1.0287246451295928
2379,1.05,0.34833333333300004,0.261666666667,0.751412429377966,0.174333333333,1.33,0.6743333333329999,0.00095,0.331333333333,0.6653333333329999,1.3592333333333,1.02642552185,1.0236040568242455
6385,1.00825,1.2575,0.976,0.7756899588960657,0.629125,1.29125,0.644,0.00145,0.93975,0.6452500000000001,0.8315250000000001,1.3093817371799998,1.3524134725599053
8252,0.972714285714,1.11714285714,0.717571428571,0.6434456928833608,0.5588571428569999,1.55714285714,0.804714285714,0.000843857142857,0.888428571429,0.778428571429,0.8967314285714001,1.15217101203,1.1503797896328052
6300,1.0483333333299998,1.15,0.998833333333,0.8667805294622258,0.575333333333,1.1516666666700002,0.660833333333,0.00293666666667,0.965833333333,0.576333333333,0.9578666666662999,1.37246854067,1.2075240966326397
4721,1.05,0.523,0.261666666667,0.5011185682326622,0.26133333333299996,2.0,0.635666666667,0.0005256666666670001,0.324666666667,0.998666666667,1.1383333333367,1.02495892124,1.0210418908135508
7761,1.046,0.9644,0.8148,0.8446362515413071,0.4828,1.186,0.6746,0.003862,0.9752,0.5936,0.80214,1.23392990508,1.2400543617917914
3202,1.05,0.518666666667,0.262333333333,0.5063909774434187,0.25933333333299996,1.97333333333,0.62,0.000612333333333,0.29766666666700003,0.987333333333,1.33996666667,1.01731028144,1.0186665443932044
547,1.05,0.498666666667,0.265,0.5322643723119016,0.24933333333299998,1.88,0.6743333333329999,0.00143,0.670666666667,0.940333333333,1.5917,1.01263582554,1.0253582319790426
2427,1.05,0.35333333333300004,0.261666666667,0.7407407407412936,0.17633333333299997,1.35333333333,0.7,0.000833666666667,0.34,0.675666666667,1.3114,1.03305062867,1.0235639399919234
2459,1.05,0.481,0.264333333333,0.55,0.240333333333,1.82333333333,0.732333333333,0.0014766666666700002,0.708,0.909666666667,1.3768666666667,1.02561229783,1.017827800501556
2700,1.05,0.529,0.263,0.4975845410624303,0.26433333333299996,2.00666666667,0.6579999999999999,0.000479666666667,0.317666666667,1.00566666667,1.0666666666633,1.0295308524200002,1.0221015876137751
3972,1.05,0.462333333333,0.262333333333,0.5679590967190319,0.231,1.76,0.7416666666670001,0.00168,0.7086666666670001,0.88,1.4278333333367,1.02497616292,1.0207436617622578
3213,1.05,0.349,0.263,0.7539237668151603,0.174333333333,1.3266666666700002,0.664333333333,0.00097,0.322,0.663333333333,1.49813333333,1.01325403341,1.0257590669242762
3423,1.05,0.451333333333,0.35600000000000004,0.7901127493487466,0.22566666666700003,1.27333333333,0.68,0.000946333333333,0.436666666667,0.637333333333,2.007999999997,1.07807081443,0.9187856638909684
1244,1.05,0.358666666667,0.262333333333,0.7311475409836066,0.17933333333299997,1.37,0.696333333333,0.0007523333333330001,0.353,0.6836666666669999,1.1745333333299999,1.03591567076,1.0249765604352836
1758,1.05,0.352666666667,0.262333333333,0.7434613244290483,0.17633333333299997,1.34333333333,0.671666666667,0.0008953333333330002,0.32299999999999995,0.6723333333329999,1.3922333333299999,1.02062041487,1.023377548463997
4975,1.05,0.53,0.262,0.4946553630665295,0.265,2.02333333333,0.669,0.000459,0.30966666666700005,1.011,1.0366999999997,1.0288838373,1.0245334589724693
2443,1.05,0.35600000000000004,0.262333333333,0.7368708971557641,0.17800000000000002,1.35666666667,0.667,0.000842,0.322,0.678333333333,1.3432999999967001,1.01952976443,1.0228727850541508
6687,1.03133333333,0.8598333333329999,0.519833333333,0.6032917139625501,0.43,1.655,0.3255,0.003953333333330001,0.9685,0.8275,0.946956666667,1.00513243297,1.0182761304572592
6411,1.0238333333299998,0.853,0.600833333333,0.7036405005665528,0.4265,1.42166666667,0.192,0.0104766666667,0.9875,0.7103333333329998,0.974515,1.01733866308,1.026502220683771
7451,0.991555555556,1.07,0.930777777778,0.8688821752272693,0.5345555555560001,1.14888888889,0.670777777778,0.00271555555556,0.967,0.574666666667,0.7821444444439999,1.5510532421899998,1.378000850690405
